Systeme,Classe,Hote_contexte,Methode_lecture,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,T1_s,T2_us,Contraste_%,Temperature_K,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,DOI,Annee,Qualite,Verification_statut,Notes,dataset_source,last_updated
"mScarlet-I + FMN (SCRP, RYDMR)",A_prime,In vitro (aqueous),ODMR,447 MHz,0.0159,Electron (SCRP),Spin-correlated radical pair,,,,10.0,293.0,3.0,,,DOI:10.1101/2025.02.27.640669,,,2.0,0.0,0.0,Non-toxic,0.0,ex_569nm; em_593nm (mScarlet-I); FMN added,"Purified protein + FMN, RF 447 MHz, 15.9 mT, RT",Preprint stage; lower contrast than parental mScarlet,0.0,10.1101/2025.02.27.640669,2025.0,2.0,a_confirmer,"mScarlet variant with improved photostability, tested in same Burd et al. study.",enrichment_v3_A_prime,2026-04-16T23:13:36.882906+00:00
4H-SiC divacancy alkene-terminated (bio-inert RT qubit),B,Solution aqueous (in_vitro),ODMR,1.3 GHz (basal axis),0.0,"Electron (S=1, divacancy)",VV (divacancy),4H-SiC; near-surface (nm),,30.0,8.0,295.0,100.0,DOI:10.1038/s41563-025-02382-9,,DOI:10.1038/s41563-025-02382-9,5.0,,2.0,0.0,0.0,Bio-inert semiconductor with existing biomedical device track record,1.0,ex_780-980nm NIR; em_~1000nm,"Alkene-terminated surface chemistry, NIR laser excitation, RT, aqueous biological conditions",Surface termination chemistry critical for stable operation; divacancy yield depends on irradiation recipe,0.0,10.1038/s41563-025-02382-9,2025.0,3.0,verifie,First bio-inert room-temperature SiC spin qubit with surface passivation suitable for biological media. Nat Mater 2025. Key advance: alkene termination stabilizes near-surface divacancies.,enrichment_v3_B,2026-04-16T23:17:41.716842+00:00
BNNT spin defects (boron nitride nanotubes),B,Microfluidic mesh (in_vitro),ODMR,"2.2 GHz (at 78 mT, g=2)",0.078,Electron (S=1/2 spin pair),Naturally occurring spin-pair defects,hBN wall of nanotube,,,0.35,295.0,d:1-100nm; L:0.1-10um,,DOI:10.1038/s41467-025-67538-2 Fig.4f,DOI:10.1038/s41467-025-67538-2 Fig.2c (78 mT),,,0.05,0.0,0.0,BNNTs generally low cytotoxicity; chemical sensing demonstrated with Gd3+,0.0,ex_visible; em_~800nm; linewidth_25MHz,"BNNT mesh drop-cast on microwave stripline, optical excitation, RT, integrated in microfluidic channel",Low contrast (0.3-0.4%); defects buried inside walls (reduced surface coupling); omnidirectional but weaker than NV,0.0,10.1038/s41467-025-67538-2,2025.0,3.0,verifie,"New class of 1D quantum sensor. S=1/2 pair aligns with external field -> omnidirectional sensing, no orientation selection. Nat Commun 16:11333 (2025). Sensitivity enhanced 300x via microfluidic integration.",enrichment_v3_B,2026-04-16T23:17:41.716842+00:00
Centres GeV dans diamant (bioconjugué),B,Neurones primaires culture (in_vitro),ODMR,1.47 GHz,0.002,Electron,GeV,,,2.1,7.0,295.0,50-100,DOI:10.1021/acsphotonics.1c00935 Fig.4a,,DOI:10.1021/acsphotonics.1c00935 Fig.3c,0.6,,3.0,0.0,1.0,"Cytotoxicité faible similaire NV, rendement GeV faible",1.0,em_600-650nm; ZPL_602nm,"Conjugaison anticorps anti-tubuline, laser 600 nm CW 5 mW, milieu Neurobasal, champ B <50 mT","Rendement GeV faible 5% vs NV 50%, photostabilité incertaine >10 min, moins mature que NV",0.0,10.1021/acsphotonics.1c00935,2021.0,2.0,a_confirmer,Alternative NV émission rouge décalée 602 nm. GeV = Ge-vacancy. Bio-conjugaison démontrée mais performances inférieures NV. Classe B qualité 2. T2=2.1±0.6 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606
Centres NV bulk (diamant macroscopique),B,bulk,ODMR,2.87 GHz,0.005,Electron,NV,,0.003,1800.0,30.0,295.0,Bulk (capteur µm),DOI:10.1038/ncomms2588 Fig.2b,DOI:10.1038/ncomms2588 Fig.3a,DOI:10.1038/ncomms2588 Fig.2c,200.0,0.0005,5.0,0.0,0.0,"Non internalisable, contact surface seulement",1.0,em_637-800nm; ZPL_637nm,"Contact surface tissu neural hippocampe, laser 532 nm CW, résolution spatiale 1 µm, perfusion","Non internalisable, limité surface/interface, invasif (contact mécanique), dérive thermique",0.0,10.1038/ncomms2588,2013.0,2.0,verifie,Détection potentiels action neuronaux via champ B 10-500 pT. Référence performances NV optimales T2=1800±200 µs bulk (vs ~1 µs nanodiamants). T1=3±0.5 ms. Contraste 30±5%.,biological_qubits_v1,2025-11-19T02:19:30.335606
Centres P1 dans nanodiamants (azote isolé),B,Cellules macrophages (in_cellulo),ESR,9.5 GHz (bande X),0.34,Electron,P1-nitrogen,,,1.8,3.0,295.0,50-100,DOI:10.1021/acsnano.8b07278 Fig.5a,,DOI:10.1021/acsnano.8b07278 Fig.4b,0.5,,2.0,0.0,1.0,"Cytotoxicité similaire NV, P1 naturellement abondant",1.0,,"Culture macrophages RAW 264.7, ESR bande X, champ B 340 mT, incubation 6h, milieu RPMI","Contraste ESR faible 3±2%, T2 court vs NV, mais P1 abondant (100-1000 ppm vs <1 ppm NV), intérêt relatif limité",0.0,10.1021/acsnano.8b07278,2018.0,2.0,a_confirmer,P1 = azote substitutionnel isolé (précurseur NV avant irradiation). Naturellement abondant dans nanodiamants commerciaux. T2=1.8±0.5 µs. Contraste faible mais détectable ESR. Classe B qualité 2.,biological_qubits_v1,2025-11-19T02:19:30.335606
Centres SiV dans diamant (nanoparticules 50 nm),B,Solution PBS (in_vitro),ODMR,Variable (cryo 4K),0.0,Electron,SiV,,1e-06,0.001,5.0,4.0,50,DOI:10.1103/PhysRevLett.113.020503 Fig.2,,DOI:10.1103/PhysRevLett.113.020503 Fig.3,0.0005,3e-07,2.0,0.0,1.0,"Toxicité Si incertaine, REQUIERT cryogénie 4 K",0.0,em_737nm; ZPL_737nm,"Cryogénique 4 K hélium liquide OBLIGATOIRE, laser 737 nm, champ B nul ou <10 mT, solution PBS gelée","REQUIERT 4 K impossible vivant, T2=1±0.5 ns ultra-court même à 4K, NON applicable biologie, référence seulement",0.0,10.1103/PhysRevLett.113.020503,2014.0,1.0,verifie,SiV = Si-vacancy. Émission 737 nm belle mais REQUIERT cryogénie 4 K. T2=1±0.5 ns (0.001 µs) à 4K. T1=1±0.3 µs. NON applicable biologie. Qualité 1 : référence. Contraste 5±2%.,biological_qubits_v1,2025-11-19T02:19:30.335606
Charge-sensitive FND quantum nanoprobes,B,Cells (in_cellulo),ODMR,2.87 GHz,0.0,Electron (NV),NV- charge-state sensitive,Nanodiamond,,0.8,10.0,310.0,40.0,arXiv:2503.20816,,arXiv:2503.20816,0.2,,3.0,0.0,0.0,"Small FNDs (<50 nm), minimal cytotoxicity",0.0,ex_532nm; em_575nm (NV0) + em_637nm (NV-); charge-state-sensitive,"FND uptake, charge-state photodynamics as electric-field / charge proxy",Interpretation depends on NV charge-state model; preprint; per-particle variability,0.0,10.48550/arXiv.2503.20816,2025.0,2.0,a_confirmer,Charge-state photodynamics as sensing modality; pre-peer-review arXiv March 2025.,enrichment_v3_B,2026-04-16T23:17:41.716842+00:00
Divacancy in 4H-SiC,B,bulk,pulsed_ESR,,,Electron,,,0.001,,,20.0,,,,,,,,,,,,,,,,10.1103/physrevlett.112.187601,2014.0,2.0,a_confirmer,Neutral divacancy defect at cryogenic temperature,nonoptical_merge_v2,2025-11-19T02:52:29.668818
Défauts Ti:C dans SiC (en développement),B,In vitro (poudre SiC) (in_vitro),ODMR,1.08 GHz,0.001,Electron,TiC,4H-SiC,,0.3,3.0,295.0,,DOI:10.1038/s41467-022-32717-8 Fig.4b,,DOI:10.1038/s41467-022-32717-8 Fig.3c,0.15,,1.0,0.0,0.0,"Biocompatibilité non testée, très exploratoire",0.0,,"Implantation Ti+ 100 keV puis recuit 1600°C, laser NIR 1000 nm, mesures préliminaires poudre, T ambiante","T2=300±150 ns très court, contraste faible 3±1%, pas biocompatibilité testée, très exploratoire matériau 2022",0.0,10.1038/s41467-022-32717-8,2022.0,1.0,a_confirmer,Ti-C complex dans 4H-SiC. Défaut récent (2022). T2=0.3±0.15 µs court. Pas application bio démontrée. Classe B qualité 1 : preuve concept matériau seulement.,biological_qubits_v1,2025-11-19T02:19:30.335606
Défauts VSi dans SiC (nanoparticules 80 nm),B,Cellules HEK293 (in_cellulo),ODMR,1.35 GHz,0.002,Electron,VSi,4H-SiC; k-site,,1.5,8.0,295.0,80,DOI:10.1126/sciadv.aaw1874 Fig.3b,,DOI:10.1126/sciadv.aaw1874 Fig.2c,0.4,,2.0,0.0,1.0,"Cytotoxicité très faible <200 µg/mL, agrégation légère",1.0,,"Milieu aqueux pH 7.0, laser 730 nm NIR CW 5 mW, champ B 2 mT, DMEM","Contraste ODMR 8±2% (vs 30% NV), optimisation nécessaire, agrégation doses >200 µg/mL",0.0,10.1126/sciadv.aaw1874,2019.0,2.0,verifie,Alternative biocompatible NV. Longueur onde NIR 730 nm avantageuse pénétration tissulaire >1 mm. VSi = V_Si vacancy. Polytype 4H dominant. T2=1.5±0.4 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606
Défauts VSi-SiC en tissu cardiaque ex vivo,B,Tissu cardiaque souris (ex_vivo),ODMR,1.35 GHz,0.002,Electron,VSi,4H-SiC,,1.1,6.0,310.0,80,DOI:10.1021/acsnano.1c05300 Fig.4a,,DOI:10.1021/acsnano.1c05300 Fig.3b,0.3,,2.0,0.0,0.0,Aucune toxicité ex vivo sur 6h perfusion,1.0,,"Perfusion saline Tyrode 37°C, laser 730 nm, imagerie multiphoton, battement maintenu","Diffusion lumière tissu, profondeur limitée 200 µm, signal faible nécessite moyennage 100 ms",0.0,10.1021/acsnano.1c05300,2021.0,2.0,verifie,Capteur champ magnétique tissu cardiaque battant. Détection potentiels action via champs B locaux 10-50 nT. Ex vivo = interface. T2=1.1±0.3 µs à 310 K.,biological_qubits_v1,2025-11-19T02:19:30.335606
Défauts divacancy VV dans SiC (nanoparticules),B,Cellules HeLa (in_cellulo),ODMR,1.10-1.35 GHz,0.002,Electron,VV-divacancy,4H-SiC; hh/kk,,3.2,10.0,295.0,100,DOI:10.1021/acs.nanolett.0c02342 Fig.3c,,DOI:10.1021/acs.nanolett.0c02342 Fig.4a,0.8,,3.0,0.0,1.0,"Cytotoxicité faible, photo-conversion VV→VSi possible",1.0,,"Laser 785 nm NIR CW 10 mW, champ B 2 mT, milieu culture DMEM+FBS, incubation 12h","Contraste 10±3%, VV moins stable que VSi à RT (photo-conversion 785 nm prolongée), agrégation modérée",0.0,10.1021/acs.nanolett.0c02342,2020.0,2.0,a_confirmer,Divacancy VV (2 vacances Si adjacentes) dans 4H-SiC. Fréquence 1.1-1.35 GHz selon orientation hh/kk. Plus photostable initialement mais photo-conversion limite. T2=3.2±0.8 µs. Classe B.,biological_qubits_v1,2025-11-19T02:19:30.335606
FND intravital thermometry in rat mammary epithelium,B,Rat mammary gland (in_vivo),ODMR,2.87 GHz,0.0,"Electron (NV, S=1)",NV-,Nanodiamond ~100 nm,,1.0,15.0,310.0,100.0,,,DOI:10.1039/D4NH00237G,0.3,,3.0,0.0,0.0,No acute toxicity observed in mammary tissue,0.0,ex_532nm; em_637-800nm; ZPL_637nm,"Intravital imaging of live rat, surgical exposure of mammary epithelium, confocal microscope with microwave delivery, ODMR-based thermometry +/-0.3 K",Accessible tissue depth limited (surface imaging); moving tissue artifacts; acute experiment window ~30 min,1.0,10.1039/D4NH00237G,2024.0,3.0,verifie,First intravital NV thermometry in a mammal (rat). Nanoscale Horizons 9:1938-1947 (2024). QST Japan (Igarashi group). Demonstrates relevance for breast cancer thermometry.,enrichment_v3_B,2026-04-16T23:17:41.716842+00:00
GeV- center in diamond,B,bulk,ODMR,,,Electron,,,0.0001,,,4.0,,,,,,,,,,,,,,,,10.1103/physrevlett.119.253601,2017.0,2.0,a_confirmer,"Germanium vacancy, narrow zero-phonon line at cryogenic temperature",nonoptical_merge_v2,2025-11-19T02:52:29.669054
N@C60 endohedral fullerene,B,bulk,pulsed_ESR,,,Electron,,,0.6,,,230.0,,,,,,,,,,,,,,,,10.1038/ncomms10240,2016.0,2.0,a_confirmer,"Nitrogen atom trapped in C60, exceptionally long T1 for molecular system",nonoptical_merge_v2,2025-11-19T02:52:29.668999
NV ensembles en microcristaux (10 µm) injectés,B,Cerveau souris (in_vivo),ODMR,2.87 GHz,0.005,Electron,NV,,,1.5,18.0,295.0,10000 (10 µm),DOI:10.1038/s41598-017-05387-w Fig.5b,,DOI:10.1038/s41598-017-05387-w Fig.4c,0.4,,4.0,0.0,1.0,"Inflammation modérée post-injection, résolution sur 14 jours",1.0,em_637-800nm; ZPL_637nm,"Injection stéréotaxique cortex moteur, laser 532 nm pulsé 2-photon, imagerie profondeur 500 µm, anesthésie kétamine","Taille 10 µm limite diffusion vasculaire, inflammation gliale modérée jours 1-7, résolution spatiale 10 µm",1.0,10.1038/s41598-017-05387-w,2017.0,3.0,verifie,Magnétométrie intra-cérébrale. Détection activité neuronale champs B locaux 50-500 fT. Microcristaux vs nanodiamants = meilleur T2=1.5±0.4 µs mais diffusion limitée. Contraste 18±4%.,biological_qubits_v1,2025-11-19T02:19:30.335606
NV nanodiamants (50 nm) en tumeurs solides,B,Souris xénogreffe (in_vivo),ODMR,2.87 GHz,0.005,Electron,NV,,,0.85,12.0,310.0,50,DOI:10.1038/s41551-021-00735-y Fig.4a,,DOI:10.1038/s41551-021-00735-y Fig.3c,0.22,,3.0,0.0,1.0,"Cytotoxicité faible, rétention tumorale EPR 48h",1.0,em_637-800nm; ZPL_637nm,"Injection IV systémique 5 mg/kg, accumulation tumorale effet EPR, imagerie fluorescence + ODMR température 310K, anesthésie","Accumulation tumorale 2-5% dose injectée, clairance hépatique 72h, résolution spatiale 50 µm limitée profondeur",1.0,10.1038/s41551-021-00735-y,2021.0,3.0,verifie,Nanothermométrie tumorale in vivo. Accumulation par effet EPR (Enhanced Permeability Retention). Mesure température intra-tumorale ±0.3 K. T2=0.85±0.22 µs environnement tumoral. Contraste 12±3%.,biological_qubits_v1,2025-11-19T02:19:30.335606
NV- center in diamond (77K),B,in_vitro,ODMR,,,Electron,,,,600000.0,,295.0,,,,,,,,,,,,,,,,10.1103/physrevb.79.075203,2009.0,2.0,a_confirmer,"NV- at liquid nitrogen temperature, extended coherence",nonoptical_merge_v2,2025-11-19T02:52:29.668695
NV- center in diamond (room temp),B,bulk,ODMR,,,Electron,,,6.0,1800.0,,298.0,,,,,,,,,,,,,,,,10.1016/j.physrep.2013.02.001,2013.0,2.0,a_confirmer,"Negatively charged nitrogen-vacancy center, typical values at room temperature",nonoptical_merge_v2,2025-11-19T02:52:29.668615
Nanodiamants NV (25 nm) en C. elegans,B,C. elegans (in_vivo),ODMR,2.87 GHz,0.005,Electron,NV,,,0.95,10.0,295.0,25,DOI:10.1038/nnano.2013.174 Fig.4c,,DOI:10.1038/nnano.2013.174 Fig.3d,0.25,,3.0,0.0,0.0,"Aucune toxicité détectée sur 7 jours, mobilité libre",1.0,em_637-800nm; ZPL_637nm,"Micro-injection neurones ASH, laser 532 nm pulsé, imagerie confocale, NGM agar 20°C","Distribution hétérogène organes, difficulté ciblage précis, mobilité nanoparticules tissus",1.0,10.1038/nnano.2013.174,2013.0,3.0,verifie,Première démo in vivo organisme multicellulaire. Suivi température ±0.5 K et champs B 1-100 µT dans neurones. Preuve de concept bio-compatibilité. T2=0.95±0.25 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606
Nanodiamants NV (50-100 nm) en cellules HeLa,B,Cellules HeLa (in_cellulo),ODMR,2.87 GHz,0.005,Electron,NV,,,1.2,15.0,295.0,50-100,DOI:10.1073/pnas.0912611107 Suppl.Fig.S3,,DOI:10.1073/pnas.0912611107 Fig.3b,0.3,,4.0,0.0,1.0,"Cytotoxicité faible <100 µg/mL, agrégation possible doses élevées",1.0,em_637-800nm; ZPL_637nm,"Internalisation endocytose 4h, laser 532 nm CW 10 mW, champ B 5 mT, DMEM+FBS","Agrégation lysosomale, cytotoxicité doses >500 µg/mL, T2 réduit 1000× vs bulk environnement",0.0,10.1073/pnas.0912611107,2010.0,3.0,verifie,Capteurs magnétiques et thermiques intra-cellulaires. T2 ~1.2±0.3 µs (vs 1-2 ms bulk) dû environnement biologique. Référence fondatrice classe B. Contraste 15±4%.,biological_qubits_v1,2025-11-19T02:19:30.335606
Nanotubes de carbone avec défauts sp3,B,Solution tampon PBS (in_vitro),ESR,9.5 GHz (bande X),0.34,Electron,Defaut-sp3,,,2.3,5.0,295.0,d:1-2nm; L:100-500nm,DOI:10.1038/s41467-020-19390-3 Suppl.Table1,,DOI:10.1038/s41467-020-19390-3 Fig.2d,0.8,,2.0,0.0,0.0,"Biocompatibilité à confirmer, agrégation variable",0.0,,"Suspension aqueuse PBS pH 7.4, spectro bande X ESR, sonication 30 min, T ambiante","Stabilité long terme incertaine >24h, agrégation sans surfactant, T2 contexte cellulaire non mesuré",0.0,10.1038/s41467-020-19390-3,2020.0,2.0,a_confirmer,Défauts spin nanotubes fonctionnalisés COO-. Potentiel bio-imagerie ESR mais T2 et biocompatibilité cellules à valider. Classe B exploratoire. T2=2.3±0.8 µs in vitro.,biological_qubits_v1,2025-11-19T02:19:30.335606
P1 center in diamond,B,bulk,ODMR,,,Electron,,,,50.0,,298.0,,,,,,,,,,,,,,,,10.1103/physrevb.79.075203,2009.0,2.0,a_confirmer,"Substitutional nitrogen (neutral), room temperature ESR",nonoptical_merge_v2,2025-11-19T02:52:29.668932
