Systeme,Classe,DOI,T1_s,T2_us,Temperature_K,Contraste_%,Hote_contexte,Methode_lecture,Qualite,Verification_statut,_source_file,_source_category,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,Annee,Notes,dataset_source,last_updated,id,system_type,T1_us,notes,label,T2_star_microseconds,magnetic_sensitivity_nT_rtHz,curator,protein_or_complex,observable,field_sensitivity_uT,mfe_percent,nucleus,host,coupling_strength_Hz,merge_note,flag_suspect,flag_reason,Data_Quality_Atlas
29Si in silicon (bulk),C,10.1038/nature11449,,1800000000.0,4.2,,silicon (bulk),NMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,29Si nuclear spins in isotopically purified silicon,nonoptical_merge_v2,2025-11-19T02:52:29.669881,,,,,,,,,,,,,,,,,1,; T2_out_of_range,MEDIUM
29Si in silicon (bulk),nuclear_spin,10.1038/nature11449,,1800000000.0,4.2,,silicon (bulk),NMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,NUC_29SI_001,silicon_bulk,,29Si nuclear spins in isotopically purified silicon,,,,,,,,,,,,,1,; T2_out_of_range,MEDIUM
31P in silicon (donor),C,10.1038/nature08812,60.0,30000000.0,2.0,,silicon (donor),pulsed_NMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"31P donor nuclear spin in silicon, long coherence times",nonoptical_merge_v2,2025-11-19T02:52:29.669774,,,,,,,,,,,,,,,,,0,,MEDIUM
31P in silicon (donor),nuclear_spin,10.1038/nature08812,,30000000.0,2.0,,silicon (donor),pulsed_NMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,NUC_31P_001,phosphorus_donor,60000000.0,"31P donor nuclear spin in silicon, long coherence times",,,,,,,,,,,,,0,,MEDIUM
6-4 photolyase FAD,D,10.1038/nature11242,,0.5,298.0,,Xenopus laevis,radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,FAD radical in 6-4 photolesion repair enzyme,nonoptical_merge_v2,2025-11-19T02:52:29.669526,,,,,,,,,,,,,,,,,0,,MEDIUM
6-4 photolyase FAD,radical_pair,10.1038/nature11242,,0.5,298.0,,Xenopus laevis,radical_pair_detection,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_6_4PHOTOLYASE_001,electron_transfer,,FAD radical in 6-4 photolesion repair enzyme,,,,,,,,,,,,,0,,MEDIUM
[1-^13C] Alpha-cétoglutarate hyperpolarisé,C,10.1073/pnas.1305487110,25.0,6000.0,310.0,,Rat cerveau (in_vivo),NMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1073/pnas.1305487110 Fig.4b,DOI:10.1073/pnas.1305487110 Fig.3a,,1200.0,5.0,,1.0,0.0,"Non toxique, métabolite cycle Krebs",1.0,,"Injection IV 0.15 mL/kg, polarisation DNP, imagerie métabolisme glutamate cérébral 3T, conversion enzymatique glutamate","T1=25±5s court limite observation, conversion métabolique rapide <20s, applications neuro-oncologie gliomes",1.0,2013.0,Métabolisme cérébral cycle Krebs. Conversion alpha-cétoglutarate → glutamate via transaminases. T1=25±5s court mais suffisant. T2=6±1.2 ms. Application gliomes IDH-mutés.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
[1-^13C] Succinate hyperpolarisé,C,10.1161/CIRCULATIONAHA.110.940353,35.0,9000.0,310.0,,Souris coeur (in_vivo),NMR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1161/CIRCULATIONAHA.110.940353 Fig.2c,DOI:10.1161/CIRCULATIONAHA.110.940353 Fig.3a,,1800.0,7.0,,1.0,0.0,"Non toxique, biomarqueur ischémie",1.0,,"Injection IV 0.12 mL/kg, biomarqueur ischémie cardiaque et reperfusion, accumulation zones ischémiques, 3T","T1=35±7s intermédiaire, signal métabolique modéré, applications cardiologie ischémie-reperfusion",1.0,2011.0,Biomarqueur ischémie myocardique. Accumulation succinate zones hypoxiques. T1=35±7s bon compromis. T2=9±1.8 ms prolongé. Cardioprotection post-infarctus.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
^15N-marqué pour DNP ultra-longue,C,10.1126/sciadv.aaz1955,900.0,600000.0,295.0,,Solution aqueuse (in_vitro),NMR,1.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,60 MHz,1.4,Noyau; ^15N,,,,DOI:10.1126/sciadv.aaz1955 Fig.4c,DOI:10.1126/sciadv.aaz1955 Fig.3a,,150000.0,150.0,,1.0,0.0,"Non toxique in vitro, in vivo à démontrer",1.0,,"Polarisation DNP 1.4 K, T1 >15 min température ambiante 295 K, champ bas 1.4T, dissolution chaude","Pas encore in vivo démontré, coût isotope ^15N élevé (~1000€/g), applications biologiques à développer",0.0,2020.0,Recherche fondamentale capteurs persistants. T1=900±150s exceptionnel (15 min). T2=600±150 ms ouvre fenêtre >10 min mais biologie in vivo à prouver. Qualité 1.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
Acétate [1-^13C] hyperpolarisé,C,10.1002/nbm.3406,20.0,5000.0,310.0,,Rat coeur (in_vivo),NMR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1002/nbm.3406 Fig.3a,DOI:10.1002/nbm.3406 Fig.2b,,1000.0,4.0,,1.0,0.0,"Non toxique, substrat énergétique cardiaque",1.0,,"Injection IV 0.1 mL/kg, métabolisme cardiaque cycle Krebs, entrée acétyl-CoA, imagerie 3T, perfusion contrôlée","T1=20±4s très court limite observation, mais conversion rapide en acétyl-CoA informative, applications cardio-métaboliques",1.0,2015.0,Substrat énergétique myocarde. Conversion acétate→acétyl-CoA via acétyl-CoA synthétase. T1=20±4s court. T2=5±1 ms. Métabolisme oxydatif cardiaque. Qualité 2.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
Alanine [1-^13C] hyperpolarisée,C,10.1002/mrm.24999,50.0,10000.0,310.0,,Rat foie (in_vivo),NMR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1002/mrm.24999 Fig.4a,DOI:10.1002/mrm.24999 Fig.2b,,2000.0,10.0,,1.0,0.0,"Non toxique, métabolite transamination",1.0,,"Injection IV 0.15 mL/kg, biomarqueur transamination hépatique, conversion pyruvate→alanine ALT, 3T, anesthésie","T1=50±10s intermédiaire, conversion métabolique lente vs pyruvate, applications hépatologie fonction ALT",1.0,2014.0,Métabolisme transamination hépatique. Conversion pyruvate→alanine via ALT (alanine aminotransférase). T1=50±10s bon compromis. T2=10±2 ms prolongé. Fonction hépatique.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
Bacterial reaction center,D,10.1073/pnas.0408746102,,0.01,293.0,,Rhodobacter sphaeroides,radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,Primary charge separation P+HA- radical pair,nonoptical_merge_v2,2025-11-19T02:52:29.669413,,,,,,,,,,,,,,,,,0,,MEDIUM
Bacterial reaction center,radical_pair,10.1073/pnas.0408746102,,0.01,293.0,,Rhodobacter sphaeroides,radical_pair_detection,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_BChl_001,charge_separation,,Primary charge separation P+HA- radical pair,,,,,,,,,,,,,0,,MEDIUM
Bicarbonate H^13CO3- hyperpolarisé,C,10.1073/pnas.0808816105,15.0,4000.0,310.0,,Souris tumeurs (in_vivo),NMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1073/pnas.0808816105 Fig.3b,DOI:10.1073/pnas.0808816105 Fig.2a,,800.0,3.0,,1.0,0.0,"Non toxique, capteur pH extracellulaire",1.0,,"Injection IV rapide 0.1 mL/kg, équilibre CO2/HCO3- dépendant pH, imagerie pH tumoral 3T, tampon physiologique","T1=15±3s très court limite application, mais excellent pour pH rapide, sensibilité pH extracellulaire",1.0,2008.0,Capteur pH extracellulaire tumoral. Équilibre CO2 ⇌ HCO3- sensible pH via anhydrase carbonique. T1=15±3s court mais suffisant mesure pH. T2=4±0.8 ms. Hétérogénéité pH tumeurs.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
Centres GeV dans diamant (bioconjugué),B,10.1021/acsphotonics.1c00935,,2.1,295.0,7.0,Neurones primaires culture (in_vitro),ODMR,2.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,1.47 GHz,0.002,Electron,GeV,,50-100,DOI:10.1021/acsphotonics.1c00935 Fig.4a,,DOI:10.1021/acsphotonics.1c00935 Fig.3c,0.6,,3.0,0.0,1.0,"Cytotoxicité faible similaire NV, rendement GeV faible",1.0,em_600-650nm; ZPL_602nm,"Conjugaison anticorps anti-tubuline, laser 600 nm CW 5 mW, milieu Neurobasal, champ B <50 mT","Rendement GeV faible 5% vs NV 50%, photostabilité incertaine >10 min, moins mature que NV",0.0,2021.0,Alternative NV émission rouge décalée 602 nm. GeV = Ge-vacancy. Bio-conjugaison démontrée mais performances inférieures NV. Classe B qualité 2. T2=2.1±0.6 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Centres NV bulk (diamant macroscopique),B,10.1038/ncomms2588,0.003,1800.0,295.0,30.0,Interface tissu neural (ex_vivo),ODMR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,2.87 GHz,0.005,Electron,NV,,Bulk (capteur µm),DOI:10.1038/ncomms2588 Fig.2b,DOI:10.1038/ncomms2588 Fig.3a,DOI:10.1038/ncomms2588 Fig.2c,200.0,0.0005,5.0,0.0,0.0,"Non internalisable, contact surface seulement",1.0,em_637-800nm; ZPL_637nm,"Contact surface tissu neural hippocampe, laser 532 nm CW, résolution spatiale 1 µm, perfusion","Non internalisable, limité surface/interface, invasif (contact mécanique), dérive thermique",0.0,2013.0,Détection potentiels action neuronaux via champ B 10-500 pT. Référence performances NV optimales T2=1800±200 µs bulk (vs ~1 µs nanodiamants). T1=3±0.5 ms. Contraste 30±5%.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
Centres P1 dans nanodiamants (azote isolé),B,10.1021/acsnano.8b07278,,1.8,295.0,3.0,Cellules macrophages (in_cellulo),ESR,2.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,9.5 GHz (bande X),0.34,Electron,P1-nitrogen,,50-100,DOI:10.1021/acsnano.8b07278 Fig.5a,,DOI:10.1021/acsnano.8b07278 Fig.4b,0.5,,2.0,0.0,1.0,"Cytotoxicité similaire NV, P1 naturellement abondant",1.0,,"Culture macrophages RAW 264.7, ESR bande X, champ B 340 mT, incubation 6h, milieu RPMI","Contraste ESR faible 3±2%, T2 court vs NV, mais P1 abondant (100-1000 ppm vs <1 ppm NV), intérêt relatif limité",0.0,2018.0,P1 = azote substitutionnel isolé (précurseur NV avant irradiation). Naturellement abondant dans nanodiamants commerciaux. T2=1.8±0.5 µs. Contraste faible mais détectable ESR. Classe B qualité 2.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Centres SiV dans diamant (nanoparticules 50 nm),B,10.1103/PhysRevLett.113.020503,0.0,0.0,4.0,5.0,Solution PBS (in_vitro),ODMR,1.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,Variable (cryo 4K),0.0,Electron,SiV,,50,DOI:10.1103/PhysRevLett.113.020503 Fig.2,,DOI:10.1103/PhysRevLett.113.020503 Fig.3,0.0005,3e-07,2.0,0.0,1.0,"Toxicité Si incertaine, REQUIERT cryogénie 4 K",0.0,em_737nm; ZPL_737nm,"Cryogénique 4 K hélium liquide OBLIGATOIRE, laser 737 nm, champ B nul ou <10 mT, solution PBS gelée","REQUIERT 4 K impossible vivant, T2=1±0.5 ns ultra-court même à 4K, NON applicable biologie, référence seulement",0.0,2014.0,SiV = Si-vacancy. Émission 737 nm belle mais REQUIERT cryogénie 4 K. T2=1±0.5 ns (0.001 µs) à 4K. T1=1±0.3 µs. NON applicable biologie. Qualité 1 : référence. Contraste 5±2%.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,LOW
Cryptochrome (Cry1) - paires radicalaires,D,10.1038/nature09324,,0.0,310.0,,Cellules rétiniennes oiseaux (in_vivo),Indirect,1.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,Variable (champ B terre),5e-05,Electron; paires radicalaires,,,,,,,0.0005,,,0.0,0.0,"Non toxique (protéine endogène), controversé mécanisme",1.0,,"Hypothèse magnétoréception, lumière bleue 450-480 nm activateur, champ B terrestre ~50 µT, comportement","Mécanisme indirect, pas lecture ODMR directe, preuve comportementale seulement, débat scientifique actif",1.0,2010.0,Classe D candidat mécanistique magnétoréception. Paires radicalaires [FAD•− TrpH•+] sensibles 50 µT champ terrestre. T2 ~1±0.5 ns estimé (non mesuré). Lecture indirecte comportement. Débat actif.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,LOW
Cryptochrome 1a,D,10.1146/annurev-biophys-032116-094545,,0.5,293.0,,Drosophila melanogaster,radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,Drosophila cryptochrome radical pair mechanism review,nonoptical_merge_v2,2025-11-19T02:52:29.669249,,,,,,,,,,,,,,,,,0,,MEDIUM
Cryptochrome 1a,radical_pair,10.1146/annurev-biophys-032116-094545,,0.5,293.0,,Drosophila melanogaster,radical_pair_detection,B,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_CRY_002,anisotropy_change,,Drosophila cryptochrome radical pair mechanism review,,,,,,,,,,,,,0,,MEDIUM
Cryptochrome 4,D,10.1038/s41586-021-03618-9,,1.0,298.0,,Erithacus rubecula (European robin),radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,Migratory bird cryptochrome showing magnetic sensitivity,nonoptical_merge_v2,2025-11-19T02:52:29.669195,,,,,,,,,,,,,,,,,0,,MEDIUM
Cryptochrome 4,radical_pair,10.1038/s41586-021-03618-9,,1.0,298.0,,Erithacus rubecula (European robin),radical_pair_detection,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_CRY_001,magnetic_field_effect,,Migratory bird cryptochrome showing magnetic sensitivity,,,,,,,,,,,,,0,,MEDIUM
Divacancy in 4H-SiC,B,10.1103/physrevlett.112.187601,0.001,,20.0,,silicon_carbide,pulsed_ESR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,Neutral divacancy defect at cryogenic temperature,nonoptical_merge_v2,2025-11-19T02:52:29.668818,,,,,,,,,,,,,,,,,0,,MEDIUM
Divacancy in 4H-SiC,spin_qubit,10.1103/PhysRevLett.112.187601,,,20.0,,silicon_carbide,pulsed_ESR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIC_002,SiC_defect,1000.0,Neutral divacancy defect at cryogenic temperature,,,,,,,,,,,,,0,,LOW
DNA photolyase FAD-TrpH,D,10.1021/ja203749t,,1.0,298.0,,Escherichia coli,radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,FAD-tryptophan radical pair in DNA repair enzyme,nonoptical_merge_v2,2025-11-19T02:52:29.669358,,,,,,,,,,,,,,,,,0,,MEDIUM
DNA photolyase FAD-TrpH,radical_pair,10.1021/ja203749t,,1.0,298.0,,Escherichia coli,radical_pair_detection,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_PHOTOLYASE_001,electron_transfer,,FAD-tryptophan radical pair in DNA repair enzyme,,,,,,,,,,,,,0,,MEDIUM
Défauts divacancy VV dans SiC (nanoparticules),B,10.1021/acs.nanolett.0c02342,,3.2,295.0,10.0,Cellules HeLa (in_cellulo),ODMR,2.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,1.10-1.35 GHz,0.002,Electron,VV-divacancy,4H-SiC; hh/kk,100,DOI:10.1021/acs.nanolett.0c02342 Fig.3c,,DOI:10.1021/acs.nanolett.0c02342 Fig.4a,0.8,,3.0,0.0,1.0,"Cytotoxicité faible, photo-conversion VV→VSi possible",1.0,,"Laser 785 nm NIR CW 10 mW, champ B 2 mT, milieu culture DMEM+FBS, incubation 12h","Contraste 10±3%, VV moins stable que VSi à RT (photo-conversion 785 nm prolongée), agrégation modérée",0.0,2020.0,Divacancy VV (2 vacances Si adjacentes) dans 4H-SiC. Fréquence 1.1-1.35 GHz selon orientation hh/kk. Plus photostable initialement mais photo-conversion limite. T2=3.2±0.8 µs. Classe B.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Défauts Ti:C dans SiC (en développement),B,10.1038/s41467-022-32717-8,,0.3,295.0,3.0,In vitro (poudre SiC) (in_vitro),ODMR,1.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,1.08 GHz,0.001,Electron,TiC,4H-SiC,,DOI:10.1038/s41467-022-32717-8 Fig.4b,,DOI:10.1038/s41467-022-32717-8 Fig.3c,0.15,,1.0,0.0,0.0,"Biocompatibilité non testée, très exploratoire",0.0,,"Implantation Ti+ 100 keV puis recuit 1600°C, laser NIR 1000 nm, mesures préliminaires poudre, T ambiante","T2=300±150 ns très court, contraste faible 3±1%, pas biocompatibilité testée, très exploratoire matériau 2022",0.0,2022.0,Ti-C complex dans 4H-SiC. Défaut récent (2022). T2=0.3±0.15 µs court. Pas application bio démontrée. Classe B qualité 1 : preuve concept matériau seulement.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Défauts VSi dans SiC (nanoparticules 80 nm),B,10.1126/sciadv.aaw1874,,1.5,295.0,8.0,Cellules HEK293 (in_cellulo),ODMR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,1.35 GHz,0.002,Electron,VSi,4H-SiC; k-site,80,DOI:10.1126/sciadv.aaw1874 Fig.3b,,DOI:10.1126/sciadv.aaw1874 Fig.2c,0.4,,2.0,0.0,1.0,"Cytotoxicité très faible <200 µg/mL, agrégation légère",1.0,,"Milieu aqueux pH 7.0, laser 730 nm NIR CW 5 mW, champ B 2 mT, DMEM","Contraste ODMR 8±2% (vs 30% NV), optimisation nécessaire, agrégation doses >200 µg/mL",0.0,2019.0,Alternative biocompatible NV. Longueur onde NIR 730 nm avantageuse pénétration tissulaire >1 mm. VSi = V_Si vacancy. Polytype 4H dominant. T2=1.5±0.4 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Défauts VSi-SiC en tissu cardiaque ex vivo,B,10.1021/acsnano.1c05300,,1.1,310.0,6.0,Tissu cardiaque souris (ex_vivo),ODMR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,1.35 GHz,0.002,Electron,VSi,4H-SiC,80,DOI:10.1021/acsnano.1c05300 Fig.4a,,DOI:10.1021/acsnano.1c05300 Fig.3b,0.3,,2.0,0.0,0.0,Aucune toxicité ex vivo sur 6h perfusion,1.0,,"Perfusion saline Tyrode 37°C, laser 730 nm, imagerie multiphoton, battement maintenu","Diffusion lumière tissu, profondeur limitée 200 µm, signal faible nécessite moyennage 100 ms",0.0,2021.0,Capteur champ magnétique tissu cardiaque battant. Détection potentiels action via champs B locaux 10-50 nT. Ex vivo = interface. T2=1.1±0.3 µs à 310 K.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Ferredoxin [4Fe-4S],D,10.1016/0005-2728(96)00009-8,,1.0,298.0,,Spinacia oleracea,radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Iron-sulfur cluster radical in spinach ferredoxin, EPR active",nonoptical_merge_v2,2025-11-19T02:52:29.669612,,,,,,,,,,,,,,,,,0,,MEDIUM
Ferredoxin [4Fe-4S],radical_pair,10.1016/0005-2728(96)00009-8,,1.0,298.0,,Spinacia oleracea,radical_pair_detection,B,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_FERREDOXIN_001,electron_transfer,,"Iron-sulfur cluster radical in spinach ferredoxin, EPR active",,,,,,,,,,,,,0,,MEDIUM
FMO complex,radical_pair,10.1038/nature05678,,0.0,77.0,,Chlorobium tepidum,radical_pair_detection,B,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_FMO_001,exciton_coherence,,"Fenna-Matthews-Olson complex, 600fs coherence (debated, 2D spectroscopy)",,,,,,,,,,,,,0,,LOW
