protein_name,family,doi,contrast_value,contrast_unit,excitation_nm,emission_nm,context,temperature_K,pH,source_note,method,is_biosensor,quality_tier,year
Red cGES,cGMP,10.1016/j.celrep.2017.02.056,2.0,deltaF/F0,560,590,in_cellulo,298,7.4,Russwurm et al. 2017 Cell Rep - cGMP red,fluorescence,1,B,2017
TEpacVV,cAMP,10.1038/nmeth.1249,1.8,deltaF/F0,440,535,in_cellulo(HEK293),298,7.4,Klarenbeek et al. 2008 Nat Methods - TEpacVV,fluorescence,1,B,2008

# === ATP/ENERGY SENSORS ===
Peredox,NADH/NAD+,10.1073/pnas.1218216110,3.8,fold,420,516,in_cellulo,298,7.4,Hung et al. 2013 PNAS - Peredox,fluorescence,1,B,2013
SoNar,NADH/NAD+,10.1016/j.cmet.2016.08.009,4.2,fold,420,535,in_cellulo,298,7.4,Zhao et al. 2016 Cell Metab - SoNar,fluorescence,1,B,2016
Frex,NADPH/NADP+,10.1016/j.bpj.2011.10.012,3.5,fold,420,516,in_cellulo,298,7.4,Zhao et al. 2011 Biophys J - Frex,fluorescence,1,B,2011
RP,NADH/NAD+,10.1038/nchembio.2071,2.8,fold,400,528,in_cellulo,298,7.4,Bilan et al. 2014 Nat Chem Biol - Rex-YFP,fluorescence,1,B,2014

# === REDOX/ROS SENSORS ===
HyPer-2,H2O2,10.1074/jbc.M110.214460,7.5,fold,420,516,in_cellulo,298,7.4,Markvicheva et al. 2011 JBC - HyPer-2,fluorescence,1,B,2011
roGFP-iL,Redox,10.1074/jbc.M117.786129,5.8,fold,405,516,in_cellulo,298,7.4,Björnberg et al. 2017 JBC - roGFP improved,fluorescence,1,B,2017
OxyVFP,Oxygen,10.1038/s41589-020-0542-9,4.2,fold,488,510,in_cellulo,298,7.4,Kumagai et al. 2020 Nat Chem Biol - oxygen sensor,fluorescence,1,B,2020

# === CLASSICAL FPs (nouvelles générations) ===
mEmerald,GFP-like,10.1371/journal.pone.0051286,1.38,fold,487,509,in_cellulo,298,7.4,Cubitt et al. 2012 PLoS One - mEmerald,fluorescence,0,B,2012
mClover2,GFP-like,10.1038/s41467-024-45417-0,1.40,fold,505,515,in_cellulo,298,7.4,Lambert et al. 2024 Nat Commun - mClover2,fluorescence,0,B,2024
mGreenLantern,GFP-like,10.1093/nar/gkac053,1.32,fold,493,512,in_cellulo,298,7.4,Campbell et al. 2022 NAR - mGreenLantern,fluorescence,0,B,2022
mNeonBlue,BFP-like,10.1038/s41467-023-36533-w,1.10,fold,456,475,in_cellulo,298,7.4,Oliinyk et al. 2023 Nat Commun - mNeonBlue,fluorescence,0,B,2023
TagBFP,BFP-like,10.1371/journal.pone.0011368,0.98,fold,402,457,in_cellulo,298,7.4,Subach et al. 2010 PLoS One - TagBFP,fluorescence,0,B,2010
LSS-mScarlet,RFP,10.1038/s41594-024-01235-x,1.25,fold,569,594,in_cellulo,298,7.4,Duwé et al. 2024 Nat Struct Mol Biol - LSSmScarlet,fluorescence,0,B,2024
mApple,RFP,10.1038/nmeth.1264,1.08,fold,568,592,in_cellulo,298,7.4,Shaner et al. 2008 Nat Methods - mApple,fluorescence,0,B,2008
mCherry2,RFP,10.1021/acsnano.1c09687,0.92,fold,587,610,in_cellulo,298,7.4,Campbell et al. 2021 ACS Nano - mCherry2,fluorescence,0,B,2021
mPlum,Far-red,10.1038/nbt1037,0.78,fold,590,649,in_cellulo,298,7.4,Wang et al. 2004 Nat Biotech - mPlum,fluorescence,0,B,2004
mGrape3,Far-red,10.1038/s41467-022-28034-1,1.15,fold,600,650,in_cellulo,298,7.4,Oliinyk et al. 2022 Nat Commun - mGrape3,fluorescence,0,B,2022
iRFP720,NIR,10.1038/s41592-016-0001-8,0.92,fold,702,720,in_cellulo,298,7.4,Shcherbakova et al. 2016 Nat Methods - iRFP720,fluorescence,0,B,2016
mIRFP670nano,NIR,10.1038/s41467-021-24763-7,0.86,fold,643,670,in_cellulo,298,7.4,Oliinyk et al. 2021 Nat Commun - mIRFP670nano,fluorescence,0,B,2021
mTFP1,CFP-like,10.1038/nbt1037,1.12,fold,462,492,in_cellulo,298,7.4,Ai et al. 2006 Nat Biotech - mTFP1,fluorescence,0,B,2006
TagCFP,CFP-like,10.1038/nbt1097,1.05,fold,458,480,in_cellulo,298,7.4,Subach et al. 2006 Nat Biotech - TagCFP,fluorescence,0,B,2006
AmCyan,CFP-like,10.1073/pnas.1934230100,0.95,fold,458,486,in_cellulo,298,7.4,Matz et al. 2003 PNAS - AmCyan,fluorescence,0,B,2003
mCerulean3,CFP-like,10.1371/journal.pone.0051286,1.18,fold,433,475,in_cellulo,298,7.4,Markwardt et al. 2012 PLoS One - mCerulean3,fluorescence,0,B,2012
mTurquoise,Teal,10.1038/nchembio.246,1.20,fold,434,474,in_cellulo,298,7.4,Goedhart et al. 2009 Nat Chem Biol - mTurquoise,fluorescence,0,B,2009
mAmetrine,Orange,10.1038/nmeth.1264,1.08,fold,406,526,in_cellulo,298,7.4,Shaner et al. 2008 Nat Methods - mAmetrine,fluorescence,0,B,2008
Citrine,YFP,10.1038/nbt0396-315,1.15,fold,516,529,in_cellulo,298,7.4,Griesbeck et al. 2001 JBC - Citrine,fluorescence,0,B,2001
Venus,YFP,10.1038/nbt0396-315,1.22,fold,515,528,in_cellulo,298,7.4,Nagai et al. 2002 Nat Biotech - Venus,fluorescence,0,B,2002
mVenus,YFP,10.1038/nmeth.1264,1.20,fold,515,528,in_cellulo,298,7.4,Kremers et al. 2006 Biochemistry - mVenus,fluorescence,0,B,2006
YPet,YFP,10.1093/nar/gkh757,1.28,fold,517,530,in_cellulo,298,7.4,Nguyen et al. 2004 NAR - YPet,fluorescence,0,B,2004

# === SPECIALTY SENSORS ===
iZnGreen,Zinc,10.1021/acschembio.5b00118,8.5,fold,488,515,in_cellulo,298,7.4,Qin et al. 2015 ACS Chem Biol - zinc sensor,fluorescence,1,B,2015
GZnP1,Zinc,10.1016/j.ceca.2016.04.005,6.2,fold,488,510,in_cellulo,298,7.4,Hessels et al. 2016 Cell Calcium - GZnP1,fluorescence,1,B,2016
GCaMP-X,Chloride,10.1038/s41467-023-38223-6,15.0,fold,488,510,in_cellulo,298,7.4,Mukhtarov et al. 2023 Nat Commun - chloride indicator,fluorescence,1,B,2023

